replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,43.6272,43.6272,80.9825,
1,1,51.2108,51.2108,625.343,
1,2,643.327,643.327,832.04,
1,2,411.083,411.083,924.56,
1,3,1034.38,1034.38,1096.81,
1,1,1432.63,1432.63,1517.03,
1,2,1604.45,1604.45,1682.05,
1,1,1156.49,1156.49,1706.93,
1,1,1131.33,1131.33,1747.27,
1,3,1682.31,1682.31,2066.35,
1,1,2185.4,2185.4,2363.88,
1,2,1869.9,1869.9,2445.13,
1,2,2385.77,2385.77,2501.28,
1,1,2438.31,2438.31,2547.08,
1,1,2826.07,2826.07,3001.63,
1,2,2005.21,2005.21,3107.15,
1,1,2968.06,2968.06,3183.96,
1,1,3082.62,3082.62,3385.22,
1,1,3131.57,3131.57,3424.03,
1,2,3421.22,3421.22,3527.17,
1,1,2926.56,2926.56,3769.57,
1,3,3791.97,3791.97,3874.22,
1,2,3906.85,3906.85,3907.9,
1,3,3953.45,3953.45,3973.79,
1,3,3753.54,3753.54,3980.28,
1,1,4022.22,4022.22,4290.38,
1,2,4360.81,4360.81,4714.31,
1,1,4792.61,4792.61,4865.33,
1,1,4855.58,4855.58,4950.95,
1,1,4960.38,4960.38,5060.46,
1,1,5014.2,5014.2,5292.82,
1,3,5984.66,5984.66,6041.68,
1,1,4759.18,4759.18,6128.64,
1,3,5996.75,5996.75,6173.88,
1,1,6172.15,6173.88,6292.28,
1,3,6171.75,6171.75,6308.74,
1,3,6246.5,6292.28,6455.89,
1,1,6429.39,6429.39,6579.49,
1,3,6523.61,6579.49,6717.61,
1,1,6112.56,6112.56,6951.24,
1,1,6832.43,6832.43,7015.66,
1,1,6446.11,6455.89,7042,
1,1,7086.28,7086.28,7090.05,
1,1,7057.97,7057.97,7130.2,
1,2,5847.88,5847.88,7387.6,
1,1,7432.05,7432.05,7479.09,
1,1,7599.77,7599.77,7608.84,
1,3,8081.52,8081.52,8175.37,
1,2,8441.36,8441.36,8475,
1,3,8242.96,8242.96,8534.98,
1,1,8665.38,8665.38,8732.24,
1,2,8803.48,8803.48,8835.73,
1,3,8777.4,8777.4,8842.7,
1,3,8859.77,8859.77,8919.75,
1,1,9216.82,9216.82,9312.94,
1,2,9346.15,9346.15,9425.74,
1,2,9172.61,9172.61,9806.47,
1,1,9770.15,9770.15,9966.88,
1,1,9937.36,9937.36,10163.1,
1,2,10001.9,10001.9,10169.9,
1,1,10128.9,10163.1,10200.7,
1,1,10245.7,10245.7,10302,
1,3,10450.9,10450.9,10541.9,
1,2,10335.1,10335.1,10567.6,
1,1,9555.74,9555.74,10588.8,
1,1,10489.2,10567.6,10686.1,
1,2,10487.9,10541.9,10716.8,
1,1,10521.1,10686.1,10718.1,
1,3,10690.1,10718.1,10842.4,
1,1,10493.3,10588.8,11141.8,
1,1,10561.7,10716.8,11148.2,
1,1,11227.7,11227.7,11326.4,
1,1,10060.6,10060.6,11432.4,
1,2,11374.7,11374.7,11479.2,
1,3,11471.1,11471.1,11480.5,
1,2,11085.2,11085.2,11571.9,
1,3,11348.9,11348.9,11623.2,
1,2,11801.3,11801.3,11803.9,
1,1,11661.5,11661.5,11905.3,
1,2,12032.6,12032.6,12111.7,
1,1,12030.9,12030.9,12171.5,
1,3,12163.7,12163.7,12375.9,
1,1,12098.1,12098.1,12667.3,
1,1,12527.7,12527.7,12861.7,
1,2,13117.4,13117.4,13179.5,
1,3,13724.2,13724.2,13815.6,
1,3,13461.7,13461.7,13947.6,
1,3,13763,13815.6,13948.7,
1,1,13893.2,13947.6,13992.2,
1,2,13484.4,13484.4,14081.5,
1,1,14021.4,14021.4,14232.9,
1,1,13664.6,13664.6,14257.2,
1,1,14187.9,14187.9,14463.4,
1,2,14014.1,14014.1,14483.1,
1,1,14671.4,14671.4,15016.7,
1,2,15015.9,15015.9,15055.3,
1,1,14514,14514,15323.1,
1,3,15505.2,15505.2,15707.7,
1,1,15470.1,15470.1,15732.9,
1,2,15113.5,15113.5,15757.4,
1,2,15723.7,15723.7,15791.2,
1,1,15721.3,15721.3,15865.8,
1,1,15894.2,15894.2,15992.5,
1,1,16008.8,16008.8,16108.4,
1,1,15821.8,15821.8,16174,
1,2,16161.5,16161.5,16181.4,
1,1,15741.6,15741.6,16321.4,
1,3,16426.1,16426.1,16929.1,
1,1,16805.7,16805.7,16953.7,
1,2,16721.8,16721.8,17183.8,
1,1,16459,16459,17302.7,
1,1,17220.5,17220.5,17307.2,
1,3,17521.3,17521.3,17546.5,
1,2,17730.8,17730.8,17969.8,
1,2,17993.2,17993.2,18076.1,
1,3,18083.9,18083.9,18342,
1,1,18038.6,18038.6,18420.4,
1,1,18416.2,18416.2,18430.7,
1,3,18310.8,18310.8,18489.2,
1,3,18465.4,18465.4,18537.7,
1,3,18411.6,18411.6,18691.6,
1,1,18503.4,18503.4,18696.5,
1,1,18812,18812,18861.1,
1,1,18899.2,18899.2,18938.8,
1,3,19164.2,19164.2,19284.4,
1,3,19363,19363,19382.1,
1,1,19310.3,19310.3,19528.4,
1,3,19955,19955,19970,
1,3,19797.8,19797.8,20077.9,
1,3,20031.8,20031.8,20282.1,
1,2,20144.9,20144.9,20397.4,
1,3,20419.3,20419.3,20420.9,
1,1,19763,19763,20527.4,
1,2,20445.6,20445.6,20606.1,
1,3,19859.8,19859.8,20930.5,
1,1,20710.5,20710.5,20957.7,
1,2,20905,20905,21075.7,
1,2,21101.1,21101.1,21381.5,
1,3,21309,21309,21413.6,
1,1,21976.4,21976.4,22033.2,
1,1,21953.3,21953.3,22227.4,
1,2,22329.8,22329.8,22479.5,
1,2,22316.5,22316.5,22604.5,
1,2,22596.4,22596.4,22677.3,
1,1,22660.6,22660.6,22696.5,
1,1,22586.7,22586.7,22729.2,
1,3,21899.3,21899.3,22860.5,
1,1,23294.9,23294.9,23314.8,
1,2,23433.3,23433.3,23571.3,
