replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,90.0823,90.0823,127.438,
1,1,105.741,105.741,679.873,
1,2,848.812,848.812,1362.29,
1,2,1328.35,1328.35,1517.07,
1,3,2135.8,2135.8,2198.24,
1,1,2387.95,2387.95,2938.38,
1,1,2336,2336,2951.94,
1,1,2958.13,2958.13,3042.52,
1,2,3312.91,3312.91,3390.51,
1,3,3473.68,3473.68,3857.71,
1,2,3861,3861,4436.23,
1,1,4512.46,4512.46,4690.94,
1,2,4926.18,4926.18,5041.69,
1,1,5034.67,5034.67,5143.44,
1,2,4140.4,4140.4,5242.34,
1,1,5835.32,5835.32,6010.88,
1,1,6128.51,6128.51,6344.42,
1,1,6365.06,6365.06,6667.65,
1,1,6466.13,6466.13,6758.59,
1,1,6042.81,6042.81,6885.82,
1,2,7064.2,7064.2,7170.15,
1,3,7829.73,7829.73,7911.98,
1,3,7750.39,7750.39,7977.13,
1,2,8066.94,8066.94,8067.99,
1,3,8163.17,8163.17,8183.51,
1,1,8305.16,8305.16,8573.32,
1,2,9004.28,9004.28,9357.78,
1,1,9895.88,9895.88,9968.59,
1,1,10025.9,10025.9,10121.3,
1,1,10242.3,10242.3,10342.4,
1,1,10353.4,10353.4,10632,
1,1,9826.84,9826.84,11196.3,
1,3,12357.3,12357.3,12414.3,
1,3,12382.2,12382.2,12559.3,
1,1,12744.4,12744.4,12862.8,
1,3,12743.6,12743.6,12880.6,
1,3,12897.9,12897.9,13061.5,
1,1,13275.5,13275.5,13425.6,
1,1,12621.3,12621.3,13460,
1,3,13470.1,13470.1,13608.2,
1,2,12074.8,12074.8,13614.5,
1,1,13310.1,13310.1,13896.2,
1,1,14107.7,14107.7,14291,
1,1,14631.9,14631.9,14635.7,
1,1,14573.4,14573.4,14645.7,
1,1,15345.8,15345.8,15392.9,
1,1,15692.2,15692.2,15701.2,
1,3,16686.9,16686.9,16780.7,
1,3,17020.2,17020.2,17312.2,
1,2,17429.9,17429.9,17463.5,
1,1,17892.5,17892.5,17959.3,
1,3,18123.7,18123.7,18189.1,
1,2,18177.6,18177.6,18209.9,
1,3,18293.8,18293.8,18353.8,
1,1,19031.1,19031.1,19127.2,
1,2,19298.1,19298.1,19377.7,
1,2,18939.8,18939.8,19573.7,
1,1,20173.6,20173.6,20370.3,
1,1,20518.9,20518.9,20744.6,
1,1,19730.9,19730.9,20764,
1,2,20652.2,20652.2,20820.1,
1,1,20914.3,20914.3,20951.9,
1,1,21155.5,21155.5,21211.8,
1,2,21340.1,21340.1,21572.6,
1,2,21655.6,21655.6,21665.5,
1,3,21579.2,21579.2,21670.2,
1,1,20773.3,20773.3,22145.1,
1,1,22125.2,22125.2,22300.1,
1,1,22209.1,22209.1,22327.7,
1,2,21658.2,21658.2,22861.9,
1,1,22955.5,22955.5,23079.8,
1,2,22474.3,22474.3,23411.9,
1,1,23391.2,23391.2,23490,
1,2,23097.2,23097.2,23583.8,
1,2,23694.8,23694.8,23799.4,
1,3,23894,23894,23903.4,
1,3,23641.6,23641.6,23915.9,
1,1,24287.1,24287.1,24530.9,
1,2,24575.7,24575.7,24578.4,
1,2,25053.4,25053.4,25132.5,
1,1,25049.9,25049.9,25190.5,
1,3,25324,25324,25536.2,
1,1,25188.4,25188.4,25757.7,
1,1,26075.7,26075.7,26409.6,
1,2,27293.3,27293.3,27355.4,
1,3,28004.1,28004.1,28490,
1,3,28546.2,28546.2,28637.6,
1,2,28051.1,28051.1,28648.2,
1,3,28626.3,28626.3,28759.4,
1,1,28895.1,28895.1,28939.6,
1,1,28423,28423,29015.7,
1,1,29159.7,29159.7,29371.3,
1,2,29144.7,29144.7,29613.7,
1,1,29503.7,29503.7,29779.2,
1,1,30501.9,30501.9,30847.2,
1,1,30177,30177,30986.1,
1,2,31213.2,31213.2,31252.7,
1,2,31414.9,31414.9,32058.8,
1,1,32151.2,32151.2,32414,
1,3,32223.6,32223.6,32426.1,
1,2,32674.8,32674.8,32742.3,
1,1,32669.7,32669.7,32814.3,
1,1,33026.9,33026.9,33125.1,
1,1,32877.3,32877.3,33229.5,
1,1,32711.7,32711.7,33291.5,
1,1,33263.4,33263.4,33363,
1,2,33578.8,33578.8,33598.6,
1,3,34125.1,34125.1,34628,
1,1,34193,34193,35036.7,
