replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,86.0618,86.0618,123.417,
1,1,101.022,101.022,675.154,
1,2,810.928,810.928,1324.41,
1,2,1269.07,1269.07,1457.78,
1,3,2040.48,2040.48,2102.91,
1,1,2281.37,2281.37,2831.81,
1,1,2231.74,2231.74,2847.68,
1,1,2826.1,2826.1,2910.5,
1,2,3165.05,3165.05,3242.65,
1,3,3318.64,3318.64,3702.68,
1,2,3688.68,3688.68,4263.91,
1,1,4311.07,4311.07,4489.54,
1,2,4706.32,4706.32,4821.83,
1,1,4809.96,4809.96,4918.74,
1,2,3955.61,3955.61,5057.55,
1,1,5574.88,5574.88,5750.45,
1,1,5854.99,5854.99,6070.89,
1,1,6080.98,6080.98,6383.57,
1,1,6177.54,6177.54,6470,
1,1,5773.11,5773.11,6616.13,
1,2,6748.92,6748.92,6854.87,
1,3,7480.28,7480.28,7562.53,
1,3,7404.48,7404.48,7631.22,
1,2,7706.91,7706.91,7707.95,
1,3,7798.83,7798.83,7819.17,
1,1,7934.49,7934.49,8202.65,
1,2,8602.41,8602.41,8955.91,
1,1,9454.21,9454.21,9526.93,
1,1,9578.43,9578.43,9673.8,
1,1,9785.17,9785.17,9885.25,
1,1,9891.34,9891.34,10170,
1,1,9388.26,9388.26,10757.7,
1,3,11805.7,11805.7,11862.8,
1,3,11829.6,11829.6,12006.7,
1,1,12175.6,12175.6,12294,
1,3,12174.8,12174.8,12311.8,
1,3,12322.2,12322.2,12485.8,
1,1,12683,12683,12833.1,
1,1,12058,12058,12896.7,
1,3,12868.9,12868.9,13007,
1,2,11535.9,11535.9,13075.6,
1,1,12716,12716,13302.1,
1,1,13478.1,13478.1,13661.3,
1,1,13978.9,13978.9,13982.6,
1,1,13923,13923,13995.2,
1,1,14660.9,14660.9,14708,
1,1,14991.8,14991.8,15000.9,
1,3,15942.1,15942.1,16036,
1,3,16260.6,16260.6,16552.6,
1,2,16652,16652,16685.6,
1,1,17093.9,17093.9,17160.8,
1,3,17314.9,17314.9,17380.2,
1,2,17366.3,17366.3,17398.6,
1,3,17477.3,17477.3,17537.3,
1,1,18181.7,18181.7,18277.8,
1,2,18436.8,18436.8,18516.4,
1,2,18094.5,18094.5,18728.3,
1,1,19273.2,19273.2,19470,
1,1,19603.1,19603.1,19828.8,
1,1,18850.3,18850.3,19883.4,
1,2,19730.4,19730.4,19898.4,
1,1,19980.9,19980.9,20018.5,
1,1,20211.3,20211.3,20267.6,
1,2,20387.7,20387.7,20620.1,
1,2,20689.1,20689.1,20699,
1,3,20616.1,20616.1,20707.1,
1,1,19846.1,19846.1,21218,
1,1,21137.7,21137.7,21312.6,
1,1,21217.9,21217.9,21336.5,
1,2,20691.6,20691.6,21895.2,
1,1,21930.9,21930.9,22055.3,
1,2,21471.3,21471.3,22408.9,
1,1,22347.3,22347.3,22446,
1,2,22066.3,22066.3,22553,
1,2,22637.3,22637.3,22741.8,
1,3,22827.6,22827.6,22837,
1,3,22586.4,22586.4,22860.7,
1,1,23203.1,23203.1,23446.9,
1,2,23478.9,23478.9,23481.5,
1,2,23935.2,23935.2,24014.3,
1,1,23931.8,23931.8,24072.5,
1,3,24193.8,24193.8,24406,
1,1,24064.3,24064.3,24633.5,
1,1,24911.9,24911.9,25245.8,
1,2,26075.2,26075.2,26137.2,
1,3,26754.2,26754.2,27240.2,
1,3,27272.2,27272.2,27363.5,
1,2,26799.1,26799.1,27396.2,
1,3,27348.7,27348.7,27481.7,
1,1,27605.5,27605.5,27650,
1,1,27154.5,27154.5,27747.1,
1,1,27858.3,27858.3,28069.9,
1,2,27843.9,27843.9,28312.9,
1,1,28186.9,28186.9,28462.4,
1,1,29140.5,29140.5,29485.9,
1,1,28830.2,28830.2,29639.2,
1,2,29820.1,29820.1,29859.6,
