replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,67.649,67.649,105.004,
1,1,79.4083,79.4083,653.54,
1,2,637.431,637.431,1150.91,
1,2,997.552,997.552,1186.27,
1,3,1603.92,1603.92,1666.36,
1,1,2221.46,2221.46,2305.86,
1,1,1793.27,1793.27,2343.71,
1,1,1754.26,1754.26,2370.2,
1,2,2487.89,2487.89,2565.49,
1,3,2608.62,2608.62,2992.66,
1,2,2899.49,2899.49,3474.72,
1,1,3388.72,3388.72,3567.19,
1,2,3699.41,3699.41,3814.91,
1,1,3780.88,3780.88,3889.65,
1,2,3109.31,3109.31,4211.25,
1,1,4382.14,4382.14,4557.71,
1,1,4602.32,4602.32,4818.22,
1,1,4779.96,4779.96,5082.56,
1,1,4855.86,4855.86,5148.32,
1,1,4537.96,4537.96,5380.97,
1,2,5305,5305,5410.95,
1,3,5879.88,5879.88,5962.13,
1,3,5820.3,5820.3,6047.04,
1,2,6058.02,6058.02,6059.07,
1,3,6130.28,6130.28,6150.62,
1,1,6236.91,6236.91,6505.08,
1,2,6761.94,6761.94,7115.44,
1,1,7431.49,7431.49,7504.21,
1,1,7529.13,7529.13,7624.51,
1,1,7691.64,7691.64,7791.72,
1,1,7775.1,7775.1,8053.71,
1,1,7379.65,7379.65,8749.11,
1,3,9279.91,9279.91,9336.93,
1,3,9298.65,9298.65,9475.78,
1,1,9570.62,9570.62,9689.03,
1,3,9570.02,9570.02,9707.01,
1,3,9685.91,9689.03,9852.63,
1,1,9969.5,9969.5,10119.6,
1,3,10115.6,10119.6,10257.7,
1,1,9478.23,9478.23,10316.9,
1,1,9995.44,9995.44,10581.5,
1,2,9067.81,9067.81,10607.5,
1,1,10594.5,10594.5,10777.7,
1,1,10988.1,10988.1,10991.9,
1,1,10944.2,10944.2,11016.4,
1,1,11524.2,11524.2,11571.3,
1,1,11784.3,11784.3,11793.4,
1,3,12531.3,12531.3,12625.2,
1,3,12781.7,12781.7,13073.7,
1,2,13089.3,13089.3,13122.9,
1,1,13436.7,13436.7,13503.5,
1,3,13610.4,13610.4,13675.7,
1,2,13650.8,13650.8,13683.1,
