replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,51.8367,51.8367,89.1921,
1,1,60.8474,60.8474,634.979,
1,2,764.385,764.385,953.098,
1,2,488.438,488.438,1001.92,
1,3,1229.02,1229.02,1291.46,
1,1,1702.22,1702.22,1786.61,
1,1,1374.12,1374.12,1924.55,
1,1,1344.22,1344.22,1960.16,
1,2,1906.37,1906.37,1983.97,
1,3,1998.88,1998.88,2382.92,
1,1,2596.64,2596.64,2775.11,
1,2,2221.76,2221.76,2797,
1,2,2834.71,2834.71,2950.22,
1,1,2897.14,2897.14,3005.91,
1,2,2382.54,2382.54,3484.48,
1,1,3357.86,3357.86,3533.43,
1,1,3526.58,3526.58,3742.48,
1,1,3662.69,3662.69,3965.29,
1,1,3720.85,3720.85,4013.32,
1,2,4065.01,4065.01,4170.96,
1,1,3477.26,3477.26,4320.27,
1,3,4505.52,4505.52,4587.77,
1,2,4642.02,4642.02,4643.07,
1,3,4459.86,4459.86,4686.6,
1,3,4697.39,4697.39,4717.73,
1,1,4779.1,4779.1,5047.26,
1,2,5181.4,5181.4,5534.9,
1,1,5694.46,5694.46,5767.18,
1,1,5769.28,5769.28,5864.65,
1,1,5893.8,5893.8,5993.88,
1,1,5957.75,5957.75,6236.37,
1,1,5654.73,5654.73,7024.2,
1,3,7110.83,7110.83,7167.85,
1,3,7125.18,7125.18,7302.32,
1,1,7333.59,7333.59,7451.99,
1,3,7333.13,7333.13,7470.12,
1,3,7421.93,7451.99,7615.6,
1,1,7639.24,7639.24,7789.34,
1,3,7751.19,7789.34,7927.47,
1,1,7262.8,7262.8,8101.48,
1,1,7659.11,7659.11,8245.22,
1,1,8118.12,8118.12,8301.36,
1,1,8419.75,8419.75,8423.51,
1,1,8386.11,8386.11,8458.33,
1,2,6948.3,6948.3,8488.02,
1,1,8830.57,8830.57,8877.62,
1,1,9029.86,9029.86,9038.93,
1,3,9602.26,9602.26,9696.11,
1,2,10029.8,10029.8,10063.5,
1,3,9794.08,9794.08,10086.1,
1,1,10296,10296,10362.9,
1,2,10460.1,10460.1,10492.3,
1,3,10429.1,10429.1,10494.4,
1,3,10527,10527,10586.9,
1,1,10951.2,10951.2,11047.3,
1,2,11104.9,11104.9,11184.5,
