replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,54.1726,54.1726,91.528,
1,1,63.5894,63.5894,637.721,
1,2,798.83,798.83,987.543,
1,2,510.449,510.449,1023.93,
1,3,1284.4,1284.4,1346.84,
1,1,1778.92,1778.92,1863.32,
1,1,1436.04,1436.04,1986.47,
1,1,1404.79,1404.79,2020.74,
1,2,1992.28,1992.28,2069.88,
1,3,2088.96,2088.96,2472.99,
1,1,2713.65,2713.65,2892.13,
1,2,2321.88,2321.88,2897.12,
1,2,2962.45,2962.45,3077.96,
1,1,3027.69,3027.69,3136.47,
1,2,2489.91,2489.91,3591.85,
1,1,3509.18,3509.18,3684.74,
1,1,3685.49,3685.49,3901.4,
1,1,3827.74,3827.74,4130.34,
1,1,3888.52,3888.52,4180.99,
1,2,4248.19,4248.19,4354.14,
1,1,3633.96,3633.96,4476.97,
1,3,4708.55,4708.55,4790.8,
1,2,4851.21,4851.21,4852.25,
1,3,4660.84,4660.84,4887.58,
1,3,4909.07,4909.07,4929.41,
1,1,4994.46,4994.46,5262.62,
1,2,5414.89,5414.89,5768.39,
1,1,5951.07,5951.07,6023.79,
1,1,6029.26,6029.26,6124.63,
1,1,6159.39,6159.39,6259.47,
1,1,6226.22,6226.22,6504.84,
1,1,5909.55,5909.55,7279.01,
1,3,7431.26,7431.26,7488.28,
1,3,7446.27,7446.27,7623.4,
1,1,7664.06,7664.06,7782.47,
1,3,7663.58,7663.58,7800.57,
1,3,7756.38,7782.47,7946.07,
1,1,7983.48,7983.48,8133.58,
1,3,8100.48,8133.58,8271.71,
1,1,7590.08,7590.08,8428.76,
1,1,8004.25,8004.25,8590.36,
1,1,8483.94,8483.94,8667.18,
1,2,7261.41,7261.41,8801.13,
1,1,8799.16,8799.16,8802.93,
1,1,8764.01,8764.01,8836.23,
1,1,9228.5,9228.5,9275.55,
1,1,9436.77,9436.77,9445.84,
1,3,10035,10035,10128.8,
1,2,10481.8,10481.8,10515.4,
1,3,10235.4,10235.4,10527.4,
1,1,10760,10760,10826.8,
1,2,10931.4,10931.4,10963.7,
1,3,10899,10899,10964.4,
1,3,11001.3,11001.3,11061.3,
1,1,11444.7,11444.7,11540.8,
1,2,11605.3,11605.3,11684.9,
1,2,11389.8,11389.8,12023.7,
1,1,12131.8,12131.8,12328.5,
1,1,12339.4,12339.4,12565.1,
1,2,12419.6,12419.6,12587.5,
1,1,12577.2,12577.2,12614.8,
1,1,12722.2,12722.2,12778.5,
1,1,11865.5,11865.5,12898.6,
1,2,13023,13023,13032.9,
1,2,12833.3,12833.3,13065.7,
1,3,12977.1,12977.1,13068.1,
1,1,13355.9,13355.9,13474.4,
1,1,13305.4,13305.4,13480.3,
1,1,12492.4,12492.4,13864.2,
1,1,13804.7,13804.7,13929,
1,1,14066.8,14066.8,14165.5,
1,2,13024.6,13032.9,14236.5,
1,2,14249.3,14249.3,14353.8,
1,2,13889.9,13889.9,14376.6,
1,3,14369.1,14369.1,14378.5,
1,2,13515.4,13515.4,14453,
1,3,14217.3,14217.3,14491.6,
1,2,14779.1,14779.1,14781.7,
1,1,14605.5,14605.5,14849.2,
1,2,15066.3,15066.3,15145.4,
1,1,15064.2,15064.2,15204.8,
1,3,15229.1,15229.1,15441.3,
