replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,131.537,131.537,168.892,
1,1,154.402,154.402,728.534,
1,2,1239.42,1239.42,1752.9,
1,2,1939.64,1939.64,2128.36,
1,3,3118.67,3118.67,3181.1,
1,1,3410.99,3410.99,4026.93,
1,1,3486.85,3486.85,4037.29,
1,1,4319.42,4319.42,4403.82,
1,2,4837.47,4837.47,4915.07,
1,3,5072.22,5072.22,5456.25,
1,2,5637.78,5637.78,6213.02,
1,1,6589.04,6589.04,6767.51,
1,2,6045.76,6045.76,7147.7,
1,2,7193.14,7193.14,7308.65,
1,1,7351.55,7351.55,7460.33,
1,1,8520.66,8520.66,8696.22,
1,1,8948.78,8948.78,9164.68,
1,1,9294.17,9294.17,9596.77,
1,1,8823.64,8823.64,9666.65,
1,1,9441.75,9441.75,9734.22,
1,2,10315.1,10315.1,10421,
1,3,11432.9,11432.9,11515.1,
1,3,11317,11317,11543.8,
1,2,11779.2,11779.2,11780.3,
1,3,11919.7,11919.7,11940.1,
1,1,12127.1,12127.1,12395.2,
1,2,13147.9,13147.9,13501.4,
1,1,14449.8,14449.8,14522.5,
1,1,14639.7,14639.7,14735.1,
1,1,14955.7,14955.7,15055.7,
1,1,15117.9,15117.9,15396.6,
1,1,14349,14349,15718.5,
1,3,18043.9,18043.9,18100.9,
1,3,18080.3,18080.3,18257.5,
1,1,18609.2,18609.2,18727.6,
1,3,18608,18608,18745,
1,3,18833.3,18833.3,18996.9,
1,2,17631.5,17631.5,19171.2,
1,1,18429.5,18429.5,19268.2,
1,1,19384.7,19384.7,19534.9,
1,3,19668.8,19668.8,19807,
1,1,19435.2,19435.2,20021.3,
1,1,20599.9,20599.9,20783.2,
1,1,21280,21280,21352.2,
1,1,21365.3,21365.3,21369.1,
1,1,22407.8,22407.8,22454.8,
1,1,22913.5,22913.5,22922.6,
1,3,24366,24366,24459.8,
1,3,24852.7,24852.7,25144.7,
1,2,25450.9,25450.9,25484.5,
1,1,26126.3,26126.3,26193.2,
1,3,26464.1,26464.1,26529.4,
1,2,26542.7,26542.7,26575,
1,3,26712.4,26712.4,26772.4,
1,1,27788.9,27788.9,27885,
1,2,28178.9,28178.9,28258.5,
1,2,27655.6,27655.6,28289.5,
1,1,29457.2,29457.2,29654,
1,1,28810.8,28810.8,29843.9,
1,1,29961.4,29961.4,30187.1,
1,2,30156,30156,30324,
1,1,30538.8,30538.8,30576.4,
1,1,30890.9,30890.9,30947.2,
1,2,31160.6,31160.6,31393,
1,3,31509.7,31509.7,31600.7,
1,2,31621.3,31621.3,31631.1,
1,1,30332.9,30332.9,31704.7,
1,1,32306.9,32306.9,32481.8,
1,1,32429.5,32429.5,32548,
1,2,31625.1,31625.1,32828.7,
1,1,33519.3,33519.3,33643.6,
1,2,32816.7,32816.7,33754.3,
1,2,33726.2,33726.2,34212.8,
1,1,34155.6,34155.6,34254.4,
1,2,34598.9,34598.9,34703.4,
1,3,34521.1,34521.1,34795.4,
1,3,34889.7,34889.7,34899.1,
1,1,35463.7,35463.7,35707.5,
1,2,35885.2,35885.2,35887.8,
2,1,288.168,288.168,317.266,
2,1,40.8276,40.8276,633.291,
2,1,0,0,635.184,
2,1,624.649,624.649,733.774,
2,1,252.727,252.727,1113.36,
2,3,1074.69,1074.69,1140.96,
2,1,795.16,795.16,1182.97,
2,1,1304.75,1304.75,1329.09,
2,1,1754.58,1754.58,1818.3,
2,1,1549.08,1549.08,1854.12,
2,1,1856.04,1856.04,1868.54,
2,1,1982.46,1982.46,2308.17,
2,2,2421.54,2421.54,2636.12,
2,2,2459.92,2459.92,2896.73,
2,1,1292.33,1292.33,2919.14,
2,1,3412.36,3412.36,3430.62,
2,1,2936.54,2936.54,3748.2,
2,3,3859.98,3859.98,4027.85,
2,1,4007.06,4007.06,4275.31,
2,3,4026.66,4026.66,4322.87,
2,1,5062.31,5062.31,5245.44,
2,3,5039.86,5039.86,5394.43,
2,2,5668.55,5668.55,5927.59,
2,1,6088.11,6088.11,6423.19,
2,1,6643.08,6643.08,7034.34,
2,2,7086.79,7086.79,7127.46,
2,1,7375.79,7375.79,7640.09,
2,2,7530.67,7530.67,7815.46,
2,2,8156.21,8156.21,8186.18,
2,1,8698.09,8698.09,8725.68,
2,1,8688.73,8688.73,8733.56,
2,1,8298.33,8298.33,8834.09,
2,1,8575.77,8575.77,8977.56,
2,1,9905.55,9905.55,10026.1,
2,1,10101.9,10101.9,10214.4,
2,1,10415.5,10415.5,10554.1,
2,3,11179.4,11179.4,11382.1,
2,2,11540,11540,11658.7,
2,2,11422.9,11422.9,11743.5,
2,2,11984.5,11984.5,12049,
2,3,12559.1,12559.1,12589.9,
2,1,13224,13224,13309.9,
2,3,13270.7,13270.7,13425.1,
2,3,12998,12998,13526.6,
2,1,13464.5,13464.5,13566.1,
2,2,13157.1,13157.1,14003.2,
2,1,14291.3,14291.3,14684.8,
2,1,13993.9,13993.9,15023.4,
2,1,15417.3,15417.3,15472.7,
2,1,15381.7,15381.7,15526.8,
2,3,15641.5,15641.5,15849.7,
2,1,16256.2,16256.2,16382.5,
2,3,16374.5,16374.5,16467.3,
2,1,16478.1,16478.1,16632.4,
2,2,16019.5,16019.5,16659.7,
2,1,16673.5,16673.5,16934.8,
2,1,16820.8,16820.8,16939.6,
2,1,16872.4,16872.4,17005.1,
