call_id,date,daily_caller,call_started,call_answered,call_ended,wait_length,service_length,meets_standard,call_type
1,01/01/2021,1,"8:00:00 AM","8:00:00 AM","8:14:22 AM",0,863,TRUE,1
2,01/01/2021,2,"8:02:42 AM","8:02:42 AM","8:07:31 AM",0,289,TRUE,0
3,01/01/2021,3,"8:08:24 AM","8:08:24 AM","8:10:13 AM",0,108,TRUE,1
4,01/01/2021,4,"8:09:37 AM","8:09:37 AM","8:13:45 AM",0,247,TRUE,1
5,01/01/2021,5,"8:11:10 AM","8:11:10 AM","8:15:28 AM",0,258,TRUE,1
6,01/01/2021,6,"8:22:33 AM","8:22:33 AM","8:28:13 AM",0,340,TRUE,1
7,01/01/2021,7,"8:23:18 AM","8:23:18 AM","8:34:14 AM",0,656,TRUE,2
8,01/01/2021,8,"8:23:57 AM","8:23:57 AM","8:29:37 AM",0,341,TRUE,1
9,01/01/2021,9,"8:25:08 AM","8:25:08 AM","8:25:32 AM",0,23,TRUE,2
10,01/01/2021,10,"8:27:58 AM","8:27:58 AM","8:37:40 AM",0,582,TRUE,2
11,01/01/2021,11,"8:28:13 AM","8:28:13 AM","8:30:31 AM",0,138,TRUE,1
12,01/01/2021,12,"8:28:25 AM","8:29:37 AM","8:33:30 AM",72,232,FALSE,1
13,01/01/2021,13,"8:36:04 AM","8:36:04 AM","8:46:25 AM",0,620,TRUE,1
14,01/01/2021,14,"8:36:13 AM","8:36:13 AM","8:37:03 AM",0,50,TRUE,2
15,01/01/2021,15,"8:43:28 AM","8:43:28 AM","8:55:37 AM",0,729,TRUE,2
16,01/01/2021,16,"8:43:59 AM","8:43:59 AM","8:48:30 AM",0,272,TRUE,1
17,01/01/2021,17,"8:46:05 AM","8:46:05 AM","8:56:29 AM",0,624,TRUE,1
18,01/01/2021,18,"8:47:27 AM","8:47:27 AM","8:47:39 AM",0,13,TRUE,0
19,01/01/2021,19,"8:53:59 AM","8:53:59 AM","9:16:07 AM",0,1328,TRUE,0
20,01/01/2021,20,"8:54:33 AM","8:54:33 AM","9:28:35 AM",0,2043,TRUE,1
21,01/01/2021,21,"9:00:35 AM","9:00:35 AM","9:01:15 AM",0,40,TRUE,2
22,01/01/2021,22,"9:09:18 AM","9:09:18 AM","9:12:57 AM",0,218,TRUE,2
23,01/01/2021,23,"9:12:34 AM","9:12:34 AM","9:14:05 AM",0,92,TRUE,0
24,01/01/2021,24,"9:14:45 AM","9:14:45 AM","9:19:40 AM",0,296,TRUE,2
25,01/01/2021,25,"9:23:00 AM","9:23:00 AM","9:31:16 AM",0,496,TRUE,0
26,01/01/2021,26,"9:36:29 AM","9:36:29 AM","9:44:42 AM",0,493,TRUE,1
27,01/01/2021,27,"9:48:44 AM","9:48:44 AM","9:56:56 AM",0,492,TRUE,2
28,01/01/2021,28,"9:52:07 AM","9:52:07 AM","9:58:40 AM",0,392,TRUE,1
29,01/01/2021,29,"9:56:33 AM","9:56:33 AM","10:00:16 AM",0,223,TRUE,1
30,01/01/2021,30,"9:58:28 AM","9:58:28 AM","10:03:56 AM",0,327,TRUE,1
31,01/01/2021,31,"10:01:19 AM","10:01:19 AM","10:12:10 AM",0,651,TRUE,0
32,01/01/2021,32,"10:01:28 AM","10:01:28 AM","10:05:07 AM",0,219,TRUE,0
33,01/01/2021,33,"10:03:34 AM","10:03:34 AM","10:09:53 AM",0,379,TRUE,0
34,01/01/2021,34,"10:04:41 AM","10:04:41 AM","10:08:06 AM",0,205,TRUE,0
35,01/01/2021,35,"10:12:53 AM","10:12:53 AM","10:19:18 AM",0,385,TRUE,1
36,01/01/2021,36,"10:12:53 AM","10:12:53 AM","10:19:02 AM",0,369,TRUE,2
37,01/01/2021,37,"10:27:25 AM","10:27:25 AM","10:31:54 AM",0,269,TRUE,1
38,01/01/2021,38,"10:43:06 AM","10:43:06 AM","10:52:18 AM",0,551,TRUE,1
39,01/01/2021,39,"10:50:34 AM","10:50:34 AM","10:53:17 AM",0,164,TRUE,1
40,01/01/2021,40,"10:58:55 AM","10:58:55 AM","11:00:00 AM",0,65,TRUE,2
41,01/01/2021,41,"11:04:30 AM","11:04:30 AM","11:05:44 AM",0,73,TRUE,2
42,01/01/2021,42,"11:08:13 AM","11:08:13 AM","11:09:58 AM",0,105,TRUE,1
43,01/01/2021,43,"11:10:56 AM","11:10:56 AM","11:14:47 AM",0,231,TRUE,0
44,01/01/2021,44,"11:16:01 AM","11:16:01 AM","11:16:27 AM",0,25,TRUE,1
45,01/01/2021,45,"11:18:59 AM","11:18:59 AM","11:20:16 AM",0,77,TRUE,1
46,01/01/2021,46,"11:22:36 AM","11:22:36 AM","11:30:47 AM",0,491,TRUE,0
47,01/01/2021,47,"11:24:51 AM","11:24:51 AM","11:25:56 AM",0,65,TRUE,1
48,01/01/2021,48,"11:28:33 AM","11:28:33 AM","11:29:34 AM",0,62,TRUE,2
