replication,call_started,call_answered,call_ended,call_type
1,0,0,48.05005468242778,2
1,637.7188913363705,637.7188913363705,672.6333015482109,2
1,569.0713467306784,569.0713467306784,704.9658234375102,2
1,481.72414466852484,481.72414466852484,783.9675548418625,2
1,432.342744689559,432.342744689559,981.1355539751187,1
1,819.9994140393208,819.9994140393208,1173.5428131373465,0
1,1577.0623753072043,1577.0623753072043,1640.8678709013402,1
1,1553.8271291836536,1553.8271291836536,1813.5416892557175,2
1,1824.5010882070678,1824.5010882070678,2149.345769648443,1
1,2225.761199327936,2225.761199327936,2319.0746641610244,1
1,2717.9790841749063,2717.9790841749063,2750.2895539805045,2
1,2641.0077281615204,2641.0077281615204,2993.789769249929,1
1,2958.2331626476334,2958.2331626476334,3024.939382294157,2
1,3451.4695849604163,3451.4695849604163,3762.9891220048526,1
1,3699.5313869346373,3699.5313869346373,4044.235078875201,1
1,3437.466034446567,3437.466034446567,4097.933291539187,1
1,3600.841525627014,3600.841525627014,4237.710392596251,0
1,4176.69326976849,4176.69326976849,4347.03309001005,1
1,4317.169712028003,4317.169712028003,4478.469940157088,1
1,4465.326512993805,4465.326512993805,4534.566669369133,1
1,4163.598002728348,4163.598002728348,4839.353099174418,1
1,5140.561993437077,5140.561993437077,5383.389756529624,1
1,5366.331044941279,5366.331044941279,5640.125541492161,2
1,5201.50407118263,5201.50407118263,5818.330017365372,0
1,5808.330682414604,5808.330682414604,5924.319411487903,1
1,6060.545451277407,6060.545451277407,6189.718953585405,0
1,6269.430112965116,6269.430112965116,6504.935620352143,0
1,6692.353595567227,6692.353595567227,6755.496822383284,0
1,7563.535961684258,7563.535961684258,7869.8843195228055,1
1,8068.966152955317,8068.966152955317,8072.970707864839,1
1,7758.582772636708,7758.582772636708,8230.170497283389,1
1,8227.02026445941,8227.02026445941,8272.263450027755,1
1,9141.755313087559,9141.755313087559,9346.37903789489,1
1,9790.248984022957,9790.248984022957,9846.440917765462,0
1,9904.012009249269,9904.012009249269,9931.804257729993,0
1,10028.49623665527,10028.49623665527,10125.309113112271,1
1,10363.884837722168,10363.884837722168,10383.515417066954,1
1,10135.452058335473,10135.452058335473,10783.361426716938,0
1,10858.018485163402,10858.018485163402,11365.535911037172,0
1,11423.85943622652,11423.85943622652,11517.994849839768,2
1,11691.835609287815,11691.835609287815,12120.729653165266,1
1,11981.05748650153,11981.05748650153,12234.370892251798,0
1,12244.722207564351,12244.722207564351,12435.848395057652,1
1,12091.801362548365,12091.801362548365,12582.89798903504,2
1,12170.87176588649,12170.87176588649,12803.039591424073,1
1,12538.257963969445,12538.257963969445,12827.18284644959,1
1,13218.055065063505,13218.055065063505,13928.802004375044,1
1,13953.531448323538,13953.531448323538,13988.603180232722,0
1,13516.50904889547,13516.50904889547,14055.800719886216,2
1,14203.614803514929,14203.614803514929,14255.0711446545,1
1,14509.098137746469,14509.098137746469,14527.723823647746,1
1,14454.664429703738,14454.664429703738,14801.3514814992,1
1,14669.894183578335,14669.894183578335,15179.783174476997,0
1,15181.435959357474,15181.435959357474,15319.140504939809,2
1,14944.536164656214,14944.536164656214,15542.218752638339,2
1,15908.955610219478,15908.955610219478,16049.568146435344,1
1,15902.405414707559,15902.405414707559,16317.067424894389,0
1,16792.620372936657,16792.620372936657,16908.405427261383,2
1,16762.67898861084,16762.67898861084,16936.0446557299,1
